blockgr10,rs,sfpar,mfpar,cdpar,aptpar,othpar,alsales,sfsales,mfsales,cdsales,f,f_bor,f_tax,f_mort,gt1_alsales,gt1_sfsales,gt1_mfsales,gt1_cdsales,cntynme10,area10,demo,mf_s8prop,assisted_units_count,property_total_unit_count,pop,vac_hunit,rent_hunit,com_area,rvac_area,pv,n_sales_17,med_sfarea17,med_sfprice17,med_sfprice_per_sqft17,n_sales_18,med_sfarea18,med_sfprice18,med_sfprice_per_sqft18,n_sales_19,med_sfarea19,med_sfprice19,med_sfprice_per_sqft19,med_alsales,med_sfsales,med_mfsales,med_cdsales,med_alpricesft,med_sfpricesft,med_mfpricesft,med_cdpricesft,std_alpricesft,std_sfpricesft,std_mfpricesft,std_cdpricesft,_gt1_alsales,_gt1_sfsales,_gt1_mfsales,_gt1_cdsales,_mf_s8prop,_com_area,_rvac_area,_pv
390351202001,145,64,80.333333333,0,0,1,39,13,26,0,21,8,7,6,27,12,15,0,Cuyahoga,0.0749169494,25,0,0,0,361,54,119,0.0133584424,0.0090746241,42,5,1464,27700,18.080939948,3,1353,19750,12.468434343,5,1410,19750,16.794217687,1.4444444444,1.0833333333,1.7333333333,,15.6587473,15.710382514,14.398975923,,14.357584058,20.467955288,10.061128299,,18.62,8.28,10.34,0,0,17.83,12.11,28.97
390351202002,188.66666667,57.666666667,128.66666667,0,0,2.3333333333,26,6,20,0,32,16,8,8,24,6,18,0,Cuyahoga,0.0621589753,30,0,0,0,1068,110,258,0,0.0037200844,26,2,1655,15875,9.4733387986,2,1592,15789,9.7832723589,2,1697,21000,12.282289043,1.0833333333,1,1.1111111111,,10.829173824,9.4733387986,11.733355443,,6.9905139606,3.0222223036,7.8665485466,,12.72,3.18,9.54,0,0,0,5.98,13.78
390351202003,243,63.666666667,149.33333333,30,0,0,43,7,32,4,50,15,23,12,34,7,24,3,Cuyahoga,0.139998332,37,0,0,0,817,174,245,0.0091144399,0.0065410856,51,1,1534,10100,6.5840938722,5,1500,20900,14.395043732,1,1428,10,0.0070028011,1.2647058824,1,1.3333333333,1.3333333333,9.7254004577,13.933333333,9.997835364,2.0054485932,9.4310076108,14.287231603,8.2413097587,6.4316702169,13.99,2.88,9.88,1.23,0,6.51,4.67,20.99
390351204001,236.66666667,184,51.333333333,0,0,1.3333333333,45,35,10,0,39,19,12,8,38,31,7,0,Cuyahoga,0.1064742385,19,0,0,0,608,113,75,0.0172366779,0.0161852187,74,9,1298,25600,19.305331179,14,1351.5,23400,18.882962931,12,1172,9800,8.9573637945,1.1842105263,1.1290322581,1.4285714286,,17.986425339,18.576736672,12.321903616,,13.340149637,14.003732637,10.6588891,,16.06,13.1,2.96,0,0,16.19,15.2,31.27
390351204002,133,97,35,0,0,1,27,22,5,0,21,9,10,2,18,15,3,0,Cuyahoga,0.0665871811,9,0,0,0,505,102,189,0.0227616004,0.005499957,51,6,1356,26025,17.681437153,3,1183,25000,20.408163265,13,1271,25000,20.138888889,1.5,1.4666666667,1.6666666667,,19.53125,19.592373439,19.53125,,11.904146166,12.692043344,8.0097025429,,13.53,11.28,2.26,0,0,34.18,8.26,38.35
390351204003,100.66666667,71,29.666666667,0,0,0,17,7,10,0,17,8,5,4,11,6,5,0,Cuyahoga,0.0668628581,18,0,0,0,96,42,8,0.0027666581,0.0090796818,41,4,968,20050,23.432016013,2,1224,8750,7.0913461538,1,1200,55500,46.25,1.5454545455,1.1666666667,2,,15.318627451,19.447004608,14.522058824,,14.713103579,18.256285742,11.911939962,,10.93,5.96,4.97,0,0,4.14,13.58,40.73
390351204004,278.33333333,197.33333333,78,0,0,3,49,34,15,0,41,16,16,9,41,31,10,0,Cuyahoga,0.1168294988,25,0,0,0,1047,176,249,0.0101132059,0.0106525123,144,10,1213.5,7750,9.1002747253,13,1268,17900,14.058956916,11,1250,25900,15.555555556,1.1951219512,1.0967741935,1.5,,14.058956916,13.803953983,14.269406393,,17.295502137,20.128027786,8.1631936692,,14.73,11.14,3.59,0,0,8.66,9.12,51.74
390351205001,405.33333333,281.66666667,122.33333333,0,0,1.3333333333,70,40,30,0,73,22,34,17,52,31,21,0,Cuyahoga,0.1749625867,38,0,0,0,1113,213,229,0.0126464575,0.0147053633,99,13,1386,25900,23.165137615,14,1316,21100,16.722222222,13,1368,19750,22.182254197,1.3461538462,1.2903225806,1.4285714286,,13.447467437,20.322880331,11.472391546,,12.633593984,13.015472501,10.371346164,,12.83,7.65,5.18,0,0,7.23,8.4,24.42
390351205002,461.66666667,399,62,0,0,2,101,91,10,0,77,34,32,11,73,64,9,0,Cuyahoga,0.1091599652,50,0,0,0,908,132,188,0.0086778653,0.0097856046,247,23,1035,22800,20.719178082,33,1152,20600,19.214876033,35,972,22100,20.70030896,1.3835616438,1.421875,1.1111111111,,17.66194332,20.502901354,16.192517992,,14.886523044,15.202947738,6.6305752725,,15.81,13.86,1.95,0,0,7.95,8.96,53.5
390351206001,428,210.33333333,213,0,0,4.6666666667,79,28,51,0,79,34,32,13,60,24,36,0,Cuyahoga,0.1990665594,79,0,0,0,1179,446,304,0.0469057406,0.0156002138,117,15,1238,27900,19.789983845,6,1529.5,10250,7.2154359818,7,1296,24000,18.237082067,1.3166666667,1.1666666667,1.4166666667,,15.047291488,18.101155328,11.572052402,,11.869285194,13.309868562,10.291301318,,14.02,5.61,8.41,0,0,23.56,7.84,27.34
390351206002,414.33333333,238.33333333,172.66666667,0,0,3.3333333333,81,43,38,0,59,25,22,12,58,32,26,0,Cuyahoga,0.1525953016,50,0,0,0,1329,170,195,0.0151862015,0.0140678805,110,16,1368.5,25075,17.316907655,12,1152,25200,21.45665176,15,1296,29000,22.281639929,1.3965517241,1.34375,1.4615384615,,16.796875,17.588797814,13.400675621,,13.016793665,14.921246286,9.1188788554,,14,7.72,6.28,0,0,9.95,9.22,26.55
390351207011,199.33333333,133.33333333,65.333333333,0,0,2,51,28,23,0,29,8,12,9,40,23,17,0,Cuyahoga,0.100872282,18,0,0,0,617,116,187,0.0243778337,0.0060036444,41,11,1367,24400,20.720108696,10,1355.5,18950,13.411107738,7,1344,31000,20.957613815,1.275,1.2173913043,1.3529411765,,16.283524904,20.655412998,13.241525424,,9.9792271493,10.892086703,7.5727227991,,20.07,11.54,8.53,0,0,24.17,5.95,20.57
390351207012,102,56,43.666666667,0,0,2.3333333333,18,9,9,0,15,8,7,0,17,9,8,0,Cuyahoga,0.0604037548,18,0,0,0,188,114,96,0.021091275,0.0057330048,38,3,1476,16000,10.781671159,5,1256,18100,17.46031746,1,1268,19750,15.575709779,1.0588235294,1,1.125,,14.321945799,15.575709779,13.068181818,,9.1961746207,6.7500672065,11.577292876,,16.67,8.82,7.84,0,0,34.92,9.49,37.25
390351207013,157.33333333,82,74.666666667,0,0,1,44,17,27,0,32,8,14,10,30,13,17,0,Cuyahoga,0.0764273811,33,0,0,0,384,92,145,0.0240697816,0.0053538223,66,3,1200,18700,20.893854749,3,1296,21750,9.3950617284,11,1367,22500,18.686131387,1.4666666667,1.3076923077,1.5882352941,,12.34414797,18.686131387,8.5227272727,,10.559781667,9.4863579286,10.898023995,,19.07,8.26,10.81,0,0,31.49,7.01,41.95
390351207021,313,258.66666667,53.666666667,0,0,1,42,37,5,0,27,10,12,5,31,27,4,0,Cuyahoga,0.101068808,26,0,0,0,736,131,124,0.0069063146,0.0074164945,91,14,1139,21617.5,23.137973138,14,1230,24500,23.910615036,9,1265,18000,14.229249012,1.3548387097,1.3703703704,1.25,,20.630991671,23.20942883,18.460648148,,12.043430448,11.870041301,14.55985137,,9.9,8.63,1.28,0,0,6.83,7.34,29.07
390351207022,231.66666667,204,26,0,0,1.6666666667,59,56,3,0,24,11,11,2,39,37,2,0,Cuyahoga,0.0778883918,5,0,0,0,466,89,82,0.004493156,0.0043087121,89,15,1217,23000,22.361111111,20,1200.5,19150,15.438932596,21,1374,31700,23.377581121,1.5128205128,1.5135135135,1.5,,19.268717353,19.347196515,12.208657048,,12.885164612,13.045267666,8.2270304062,,16.83,15.97,0.86,0,0,5.77,5.53,38.42
390351207023,164.33333333,119.33333333,44.333333333,0,0,1,25,16,9,0,24,10,7,7,19,13,6,0,Cuyahoga,0.0613462302,18,0,0,0,473,87,88,0.0093739956,0.0046340536,51,2,1131,18000,15.927084963,3,1294,33900,26.708074534,11,1330,8500,10.775862069,1.3157894737,1.2307692308,1.5,,15.490533563,15.362573302,15.577889447,,8.6963053813,9.734939573,6.6331436599,,11.56,7.91,3.65,0,0,15.28,7.55,31.03
390351208011,376,165,210.33333333,0,0,1,92,42,50,0,31,9,8,14,67,32,35,0,Cuyahoga,0.1163372186,11,0,0,0,1010,108,355,0.0147191733,0.009005359,28,17,1292,17654,15.082956259,11,948,36000,36.096256684,14,1350,35500,28.112854067,1.3731343284,1.3125,1.4285714286,,18.115486664,27.417139312,14.809298104,,19.690495915,24.801664608,8.8214245057,,17.82,8.51,9.31,0,0,12.65,7.74,7.45
